"CODIGO";"DESCRIPCION";"COSTO";"ULTCOSTO";"PRECIO1";"PRECIO2";"PRECIO3";"PRECIO4";"PRECIO5";"PRECIO6";"PRECIO";"PORCENTAJE";"ULTPRECIO";"MARCA";"COLOR";"CATEGORIA";"SUBCATEGORIA";"UBICACION";"UNIDAD";"DISPONIBLE";"ENPRODUCCION";"NOTAS";"IVA";"TASA";"IMPOTROS";"IIBB";"STOCKMINIMO";"STOCKMAXIMO";"STOCKVENDIDO";"FECHACOMPULT";"LISTA";"PROCEDENCIA";"CODIGOBARRA";"RUBRO";"PROVEEDOR";"GARANTIA";"FECHA";"PEDIDO";"STOCK";"EXISTENTE";"ACTUAL";"MARCADOCONTADO";"MARCADOLISTA";"MARCADOFINAL";"PREPARADO";"CTANOMBRE";"CTATIPO";"CTAANTICIPO";"CTAIIBB";"ESTADO";"VENCE";"VENCIMIENTO";"DESLARGA";"RESERVA";"INDIVIDUAL";"MODIFICADO";"SLUG";"ENLACE";"TIPO";"DESTACADO";"VISIBLE";"REBAJADODESDE";"REBAJADOHASTA";"VIRTUAL";"DESCARGAR";"DESCARGA";"DESCARGARLIMITE";"DESCARGAREXPIRA";"URLEXTERNA";"BOTON";"ESTADOIMPUESTO";"CLASEIMPUESTO";"ESTADOSTOCK";"PESO";"DIMENSION";"CLASEENVIO";"VALORACION";"VENTADIRIGIDA";"VENTACRUZADA";"PADRE";"NOTACOMPRA";"ETIQUETA";"ATRIBUTO";"ATRIBUTOPORDEFECTO";"META";"USD"
42;"micki baby set x3";200;;210;220;230;240;250;260;400;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;15/06/2019;;"";"92530102";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
43;"gaudi conjunto x3";220;;231;242;253;264;275;286;440;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"0230750";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
44;"adachi baby setx4";330;;346.5;363;379.5;396;412.5;429;660;100;;0;0;0;0;"";"c/u";5;;"";;0;0;0;;;;15/06/2019;;"";"91151186";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
45;"sare calsa beba term";66;;69.3;72.6;75.9;79.2;82.5;85.8;132;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"90283695";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
46;"js pantalon";76;;79.8;83.6;87.4;91.2;95;98.8;152;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;15/06/2019;;"";"91561015";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
47;"yabi conjunto plush ";390;;409.5;429;448.5;468;487.5;507;780;100;;0;0;0;0;"";"c/u";3;;"";;0;0;0;;;;15/06/2019;;"";"901519337";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
48;"only baby conjunto saqui";300;;315;330;345;360;375;390;600;100;;0;0;0;0;"";"c/u";5;;"";;0;0;0;;;;15/06/2019;;"";"93808354";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
49;"veo veo beba calza ";190;;199.5;209;218.5;228;237.5;247;342;80;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;15/06/2019;;"";"90521545";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
50;"medias floy soquete";35;;36.75;38.5;40.25;42;43.75;45.5;70;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"0220561";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
51;"ostyn  media polera ";120;;126;132;138;144;150;156;150;25;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"10459";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
